
[Job Tracker] Initialized job: train-mountaincar-5005804f
[Job Tracker] Job directory: jobs/train-mountaincar-5005804f
[Job Tracker] Output log: jobs/train-mountaincar-5005804f/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.2
Crossover rate: 0.5
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
    60 |     3600 |  1.126611E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    61 |     3660 |  1.126611E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    62 |     3720 |  1.126611E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    63 |     3780 |  1.126611E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    64 |     3840 |  1.126556E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    65 |     3900 |  1.126556E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    66 |     3960 |  1.126556E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    67 |     4020 |  1.126556E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    68 |     4080 |  1.126556E+02 |  1.123333E+02 |      -112.33 |      -112.66 |      -112.33
    69 |     4140 |  1.126500E+02 |  1.123333E+02 |      -112.33 |      -112.65 |      -112.33
    70 |     4200 |  1.126500E+02 |  1.123333E+02 |      -112.33 |      -112.65 |      -112.33
    71 |     4260 |  1.126444E+02 |  1.123333E+02 |      -112.33 |      -112.64 |      -112.33
    72 |     4320 |  1.126444E+02 |  1.123333E+02 |      -112.33 |      -112.64 |      -112.33
    73 |     4380 |  1.126278E+02 |  1.123333E+02 |      -112.33 |      -112.63 |      -112.33
    74 |     4440 |  1.126167E+02 |  1.123333E+02 |      -112.33 |      -112.62 |      -112.33
    75 |     4500 |  1.125833E+02 |  1.123333E+02 |      -112.33 |      -112.58 |      -112.33
    76 |     4560 |  1.125333E+02 |  1.123333E+02 |      -112.33 |      -112.53 |      -112.33
    77 |     4620 |  1.124111E+02 |  1.123333E+02 |      -112.33 |      -112.41 |      -112.33
