
[Job Tracker] Initialized job: train-mountaincar-8ad2d957
[Job Tracker] Job directory: jobs/train-mountaincar-8ad2d957
[Job Tracker] Output log: jobs/train-mountaincar-8ad2d957/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.9
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
    60 |     3600 |  1.279944E+02 |  1.276667E+02 |      -127.67 |      -127.99 |      -127.67
    61 |     3660 |  1.279833E+02 |  1.276667E+02 |      -127.67 |      -127.98 |      -127.67
    62 |     3720 |  1.279778E+02 |  1.276667E+02 |      -127.67 |      -127.98 |      -127.67
    63 |     3780 |  1.279444E+02 |  1.276667E+02 |      -127.67 |      -127.94 |      -127.67
    64 |     3840 |  1.279056E+02 |  1.276667E+02 |      -127.67 |      -127.91 |      -127.67
    65 |     3900 |  1.278278E+02 |  1.276667E+02 |      -127.67 |      -127.83 |      -127.67
    66 |     3960 |  1.276833E+02 |  1.276667E+02 |      -127.67 |      -127.68 |      -127.67
    67 |     4020 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    68 |     4080 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    69 |     4140 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    70 |     4200 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    71 |     4260 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    72 |     4320 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    73 |     4380 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    74 |     4440 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    75 |     4500 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    76 |     4560 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    77 |     4620 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    78 |     4680 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    79 |     4740 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    80 |     4800 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    81 |     4860 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    82 |     4920 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    83 |     4980 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    84 |     5040 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    85 |     5100 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    86 |     5160 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    87 |     5220 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    88 |     5280 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    89 |     5340 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    90 |     5400 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    91 |     5460 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    92 |     5520 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    93 |     5580 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    94 |     5640 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    95 |     5700 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    96 |     5760 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    97 |     5820 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    98 |     5880 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
    99 |     5940 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   100 |     6000 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   101 |     6060 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   102 |     6120 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   103 |     6180 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   104 |     6240 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   105 |     6300 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   106 |     6360 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   107 |     6420 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   108 |     6480 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   109 |     6540 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   110 |     6600 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   111 |     6660 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   112 |     6720 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   113 |     6780 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   114 |     6840 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   115 |     6900 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   116 |     6960 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   117 |     7020 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   118 |     7080 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   119 |     7140 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   120 |     7200 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   121 |     7260 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   122 |     7320 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
